LON	        LAT	        NOM
-3.855556011	16.319999695	1km nord village
-4.389166832	15.797778130	20m de l'école
-0.264444441	16.715278625	A cote du CS
-2.168888807	15.644721985	A l'est
2.414722204	16.593610764	A l'ouest de l'école
-0.014166667	16.355833054	A proximité de la route Bourem
-0.475555569	16.204721451	A proximité de l'école
0.160555556	16.426389694	A proximité des habitations
2.519722223	15.747500420	A proximité des habitations
0.218611106	15.924444199	A proximité du marché
1.846111059	19.349449158	ABAÏARA village
-3.016388893	16.782777786	Abatoire
-2.979722261	16.730556488	ABATTOIR
1.423333049	18.428049088	Abattoir
-1.571666718	17.036111832	Abba Koïra
2.199722052	18.191389084	ABIYOU
-3.009166718	16.756666183	ADDUCTION
-3.271111012	16.572778702	Adina-Koïra
-3.274444342	16.573610306	Adina-Koïra
-2.963055611	16.718889236	Adjachou
1.429721951	18.420560837	AEP Sommaire
1.444443941	18.448329926	AEP Sommaire
-2.995555639	16.729999542	AEROPORT
-2.995555639	16.729999542	AEROPORT
1.410277963	18.433889389	AEROPORT EXTE
-3.027499914	16.120555878	Agala
-2.509166718	16.792778015	AGASSA
1.740278006	18.462499619	Agharousse Ingouzare
-2.685277700	16.617776871	AGLAL
2.715555668	15.531110764	Agourou
-2.566944361	15.486389160	Aguawallene Aguissane
0.855277777	19.461389542	Aguel-Hoc
0.858333290	19.466939926	AGUEL-HOC-SEDENTAI
0.854166687	19.466110229	AGUEL-HOC-SEDENTAI
0.853333414	19.465829849	AGUELHOK VILLE
-3.095833302	16.704721451	AGUIKOULE
1.993888855	15.351666451	Akabar
-3.286111116	16.898332596	Akat Kott Mouchir
-0.008888889	16.173334122	Al Bouddi
-4.420000076	16.594722748	Al Mankouss
-3.010555506	16.770833969	Alamanben
-5.287777901	15.596388817	Alfis
0.147222221	17.360277176	Almoustarat
0.148333326	17.359722137	Almoustarat
0.148333326	17.359443665	Almoustarat
0.989444375	20.255559921	AMACHACH CA
0.989722311	20.253889084	AMACHACH CA
-3.190555573	16.680555344	Amachacha
-3.049722195	16.685832977	Amadia
1.316666722	15.379166603	AMALAOULAOU
-4.110555649	16.169445038	AMARDANI
-3.597222328	16.424722672	Amiri Farandi
3.019999981	15.423889160	Anderamboukane
3.016666651	15.421111107	Anderamboukane
0.714444458	15.244722366	ANKOUM
0.728611112	15.265832901	Ankoum Chantier
-4.584444523	16.356388092	ARATENE
2.726111174	15.701944351	ARENKIDAL 1
0.211388886	16.708333969	Argarbech
-0.009444444	16.184444427	Arhabou
-3.377500057	16.377777100	Arham
-2.789444447	16.707777023	ARHASSAYE
-0.416944444	15.368611336	Arkatane
-2.158333302	16.810832977	Asacobe
-3.257777691	16.646389008	Assana
3.168333292	15.908611298	Assew
3.169166565	15.908055305	Assew
-2.410277843	16.857221603	ASSIDI
-0.461100012	16.206666946	Atahaka
0.825277805	15.298055649	Au bord de la mare
-0.410833329	15.819444656	Au bord de la mare
0.676111102	15.129166603	Au bord du fleuve
3.396111012	15.857500076	Au campement
3.303333282	15.642499924	Au campement
0.103055559	16.348611832	Au niveau du campement
-2.471944332	16.726667404	Au nord ouest du village
0.142222226	17.357778549	Au sud de la mosquée
0.725277781	18.138610840	Aucun Indice de répérage
-0.014444444	16.217777252	Bagoundie 1
-0.020833334	16.218889236	Bagoundjé 2
-3.003611088	16.768888474	Bahadou
-2.971388817	16.830554962	Bakiya
-1.405277729	17.037221909	Bamba
-2.783333302	15.853333473	BAMBARA-MAOUDE
-2.788611174	15.854444504	BAMBARA-MAOUDE
-2.788333416	15.852499962	BAMBARA-MAOUDE
-2.785555601	15.842778206	BAMBARA-MAOUDE
-3.193611145	16.549165726	Bani
0.317777783	15.821666718	Bara
0.313888878	15.822500229	Bara B
-0.298611104	16.880556107	Baria
-0.721388876	16.968055725	Barkaïna
-0.712222219	16.967500687	Barkaïna
0.498888880	15.653055191	Base des TP
0.468055546	15.680555344	Base SATOM
0.503055573	15.676111221	Bazi Haoussa
-2.995555639	16.777778625	BELAFARANDI1
-3.002500057	16.775833130	BELAFARANDI2
-2.904999971	15.792778015	Belah Abdoul Koudous
-2.593055487	15.659166336	BENZEMA
-0.020000000	16.328887939	Berrah
-0.264444441	16.836944580	Bia
-0.264999986	16.836666107	Bia
-3.728333235	16.737499237	Bintagougou
-3.733055592	16.738056183	BINTAGOUNGOU
0.109444447	16.524999619	Bord de la route
1.398056030	18.446670532	Bord de l'oued
3.019444466	15.315555573	Bord mare
1.190556049	18.543609619	bord oued
-0.679400027	15.529700279	Bordure de la mare
1.261111021	20.220560074	bordure oued
-2.851111174	15.885833740	Bougnoukou Niangaye
-0.044722222	16.290555954	Boulevard Askia
-0.055277776	16.260000229	Boulgoundié
-0.341111124	16.916389465	Bourem Jingo
-0.353055567	16.954166412	Bourem santé
-0.350555569	16.952222824	Bourem Ville
-0.349166662	16.951944351	Bourem Ville
-2.778333426	15.970277786	Bouya Haua
